ECO;;;;;;;;;;;;;;;;;;;;;;
;SOPÚCH 90°;;;;;SOPÚCH 45°;;;;;;;;;;;;;;;;
;Bez vetracej šachty;;;;;Bez vetracej šachty;;;;;;;;;;;;;;;;
;;Rozmer;;;;;Rozmer;;;;;;;;;;;;;;;
;Výška;16;18;20;;Výška;16;18;20;;Horné komínové dvierka;;;;;;;;;;;
;3;336,94;371,42;377,16;;3;356,25;391,45;400,53;;cena;123;;;;;;;;;;
;4;375,58;419,9;425,73;;4;394,89;439,93;449,1;;;;;;;;;;;;;
;5;414,22;468,38;474,3;;5;433,53;488,41;497,67;;;;;;;;;;;;;
;6;452,86;516,83;522,87;;6;472,17;436,89;546,24;;;;;;;;;;;;;
;7;491,5;565,34;571,44;;7;510,81;585,37;594,81;;;;;;;;;;;;;
;8;589,64;673,32;699,32;;8;608,95;693,35;722,69;;;;;;;;;;;;;
;9;628,28;741,61;747,89;;9;647,59;761,64;771,26;;;;;;;;;;;;;
;10;666,92;790,09;796,46;;10;686,23;810,12;819,83;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;S vetracou šachtou;;;;;S vetracou šachtou;;;;;;;;;;;;;;;;
;;Rozmer;;;;;Rozmer;;;;;;;;;;;;;;;
;Výška;16;18;20;;Výška;16;18;20;;;;;;;;;;;;;
;3;484,55;528,66;535,68;;3;447,14;480,53;489,61;;;;;;;;;;;;;
;4;532,07;585,15;593,31;;4;494,66;537,02;546,19;;;;;;;;;;;;;
;5;579,59;641,64;650,94;;5;542,18;593,51;602,77;;;;;;;;;;;;;
;6;627,11;698,13;708,57;;6;589,7;650;659,35;;;;;;;;;;;;;
;7;674,63;814,12;825,7;;7;637,22;765,99;775,43;;;;;;;;;;;;;
;8;722,15;870,61;903,14;;8;684,74;822,48;851,82;;;;;;;;;;;;;
;9;769,67;946,91;960,77;;9;732,26;898,78;908,4;;;;;;;;;;;;;
;10;817,19;1003,4;1018,4;;10;779,78;955,27;964,98;;;;;;;;;;;;;
ECOPLUS;;;;;;;;;;;;;;;;;;;;;;
;SOPÚCH 90°;;;;;;;;;SOPÚCH 45°;;;;;;;;;;;;
;Bez vetracej šachty;;;;;;;;;Bez vetracej šachty;;;;;;;;;;;;
;;Rozmer;;;;;;;;;Rozmer;;;;;;;;;;;
;Výška;14;16;18;20;22;25;30;;Výška;14;16;18;20;22;25;30;;strieška na kónické vyústenie;;;
;3;387,57;393,66;439,58;446,6;784,61;823,63;977,16;;3;407,51;412,97;459,61;469,97;802,08;869,2;1046,87;;;;;
;4;424,89;432,3;488,06;496,22;885,56;937,42;1118,7;;4;444,83;451,61;508,09;519,59;903,03;982,99;1188,41;;priemer;cena bez dph bez zľavy;predajná cena;
;5;462,21;470,94;536,54;545,84;986,51;1051,21;1285,66;;5;482,15;490,25;556,57;569,21;1003,98;1096,78;1355,37;;14;64,82;34,35;
;6;499,53;509,58;585,02;595,46;1146,96;1249,92;1486,7;;6;519,47;528,89;605,05;618,83;1164,43;1295,49;1556,41;;16;64,82;34,35;
;7;536,85;548,22;633,5;645,08;1273,33;1363,71;1628,24;;7;556,79;567,53;653,53;668,45;1290,8;1409,28;1697,95;;18;64,82;34,35;
;8;633,67;646,36;741,48;774,01;1433,78;1537;1829,28;;8;653,61;665,67;761,51;797,38;1451,25;1582,57;1898,99;;20;78,72;41,72;
;9;670,99;685;809,77;823,63;1534,73;1650,79;1996,24;;9;690,93;704,31;829,8;847;1552,2;1696,36;2065,95;;22;78,72;53,53;
;10;708,31;723,64;858,25;873,25;1635,68;1764,58;2137,78;;10;728,25;742,95;878,28;896,62;1653,15;1810,15;2207,49;;25;78,72;53,53;
;;;;;;;;;;;;;;;;;;;30;78,72;53,53;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;S vetracou šachtou;;;;;;;;;S vetracou šachtou;;;;;;;;;;;;
;;Rozmer;;;;;;;;;Rozmer;;;;;;;;horné komínové dvierka;;;
;Výška;14;16;18;20;;;;;Výška;14;16;18;20;;;;;;75,95;40,25;
;3;478,46;484,55;528,66;535,68;;;;;3;498,4;503,86;548,69;559,05;;;;;;;;
;4;524,66;532,07;585,15;593,31;;;;;4;544,6;551,38;605,18;616,68;;;;;;;;
;5;570,86;549,59;641,64;650,94;;;;;5;590,8;598,9;661,67;674,31;;;;;;;;
;6;617,06;627,11;698,13;708,57;;;;;6;637;646,42;718,16;731,94;;;;;;;;
;7;663,26;674,63;814,12;825,7;;;;;7;683,2;693,94;834,15;849,07;;;;;;;;
;8;709,46;722,15;870,61;903,14;;;;;8;729,4;741,46;890,64;926,51;;;;;;;;
;9;755,66;769,67;946,91;960,77;;;;;9;775,6;788,98;966,94;984,14;;;;;;;;
;10;801,86;817,19;1003,4;1018,4;;;;;10;821,8;836,5;1023,43;1041,77;;;;;;;;